repo_name,file_count,avg_size,max_size,avg_depth,max_depth,comment_density,import_freq,function_freq,py_ratio,js_ratio,java_ratio,dominant_ratio,main_language,complexity_score,readability_score,modularity_score,tech_focus_score,complexity_rank,readability_rank,modularity_rank
welll/record-encode-audio-from-browser,1,3165,3165,1,1,0.0034755134281200632,0,6,0,0,0,0,JavaScript,0.69314718055994529,0.34755134281200634,6,0,130218,74064,7235
google/arc-xcode-test-engine,1,6355,6355,2,2,0.0031471282454760031,0,6,0,0,0,0,PHP,1.3862943611198906,0.3147128245476003,6,0,116181,79420,7235
Zaku-eu/colourco.de,1,2243,2243,2,2,0.006241640659830584,0,6,0,1,0,1,CoffeeScript,1.3862943611198906,0.6241640659830584,6,1,116181,41073,7235
respawner/looking-glass,2,27986,46448,4,4,0.0033122307326502454,0,12,0,0,0,0,PHP,4.3944491546724391,0.33122307326502454,6,0,70200,76699,7235
traceyr/BeerFellows,3,5005,7541,1.6666666666666667,2,0.0037389873756338123,0,17,0,0.33333333333333331,0,0.33333333333333331,JavaScript,2.3104906018664844,0.37389873756338121,5.666666666666667,0.33333333333333331,98173,69981,7868
chefArchitect/apispots-browser-swaggered,7,42972,290399,4.1428571428571432,5,0.0047222575545792156,5.7142857142857135,38.999999999999993,0,0.14285714285714285,0,0.14285714285714285,CSS,8.614829244102177,0.47222575545792156,5.57142857142857,0.14285714285714285,38365,56557,7902
sliptree/bootstrap-tokenfield,4,10005.25,33350,2.25,3,0.0027708507318345132,0,21.5,0,0.75,0,0.75,JavaScript,3.6212353029767255,0.27708507318345132,5.375,0.75,79578,85986,8051
skmetz/play,3,2000,3025,2.3333333333333335,3,0.00434405577131199,0,16,0,0,0,0,Ruby,3.2346868426130784,0.43440557713119904,5.333333333333333,0,85020,61386,8066
cuspaceflight/tawhiri,13,14099,93064,2.9230769230769229,4,0.0080253817550757743,1.6153846153846159,69.3076923076923,0.30769230769230771,0.46153846153846156,0,0.46153846153846156,Python,7.7141675788753705,0.80253817550757744,5.331360946745562,0.46153846153846156,43020,28893,8085
davy/benchmark-bigo,2,2838,5454,4,4,0.0027502750275027505,0,10.5,0,0,0,0,Ruby,4.3944491546724391,0.27502750275027504,5.25,0,70200,86378,8108
vincent/lootr,3,5005.666666666667,11464,3.666666666666667,6,0.014025325401953816,0,15.666666666666668,0,0.66666666666666663,0,0.66666666666666663,JavaScript,5.083079324106266,1.4025325401953816,5.2222222222222223,0.66666666666666663,62649,10750,8223
canbican/ti-mapannotationcluster,1,2681,2681,1,1,0.0041029466616933977,0,5,0,0,0,0,JavaScript,0.69314718055994529,0.41029466616933974,5,0,130218,64737,8341
uzumaxy/pyvalid,1,762,762,2,2,0.0013123359580052493,2,5,1,0,0,1,Python,1.3862943611198906,0.13123359580052493,5,1,116181,112890,8341
AshAlom/GaugeMeter,1,53150,53150,1,1,0.0018814675446848542,0,5,0,0,0,0,,0.69314718055994529,0.18814675446848542,5,0,130218,102437,8341
aliostad/WikiRockWord2Vec,1,932,932,1,1,0,6,5,1,0,0,1,CSS,0.69314718055994529,0,5,1,130218,132546,8341
emacs-helm/helm-mu,1,20558,20558,1,1,0.0010215001459285922,0,5,0,0,0,0,Emacs Lisp,0.69314718055994529,0.10215001459285922,5,0,130218,117793,8341
selesse/gradle-git-changelog,1,1693,1693,10,10,0,6,5,0,0,0,0,Groovy,6.9314718055994531,0,5,0,47702,132546,8341
